pgq_id,dist_arcsec,ra,dec,phot_bmag,pg_class,z,fiberID,plate,mjd,bestobjid,specobjid
64,0.0737431048454243,194.2497,4.459556,15.84,QSO,1.022772,154,848,52669,1237654879654248511,954805496978630656
65,0.236048389981054,195.3038,59.03519,15.6,QSO,0.4761917,20,957,52398,1237658311332790349,1077491748638320640
67,0.0533531313816439,197.4458,8.330055,15.28,QSO,0.153836,457,1795,54507,1237661972801585176,2021116027600922624
68,0.0373987578324011,198.074,35.25586,15.45,QSO,0.1829528,61,2016,53799,1237665129622339736,2269831043483723776
71,0.0129636173112485,202.9214,41.03297,16.3,QSO,1.936172,433,1464,53091,1237662194532417542,1648436537609709568
72,0.0118543383187032,204.0084,17.42031,15.64,QSO,0.552017,614,2606,54154,1237668625167876120,2934264001959323648
73,0.0343112269157547,205.2533,41.38725,16.08,QSO,1.214429,338,1377,53050,1237662195606880271,1550457131625375744
74,0.0509915281276626,205.9865,25.64658,15.93,Sey,0.0863796,66,2246,53767,1237665548886081562,2528789395910191104
75,0.0477246457662787,208.5268,23.43039,15.87,QSO,0.05523464,517,2783,54524,1237665566604525581,3133521628521064448
78,0.0271293814280749,208.6487,18.08819,15.71,QSO,0.1514729,228,2756,54508,1237668297677013119,3103042891052771328
79,0.0437707714226953,209.1367,21.06456,15.85,QSO,0.300457,12,2769,54527,1237667735592435753,3117620216532592640
80,0.144549751581569,210.1332,4.082695,16.39,QSO,0.4271503,50,856,52339,1237654879661195285,963784103394568192
82,0.0774433605825045,211.5912,22.39628,15.82,QSO,0.09831072,10,2784,54529,1237667911140835354,3134508165412972544
85,0.269292952947671,214.2535,44.93517,15.74,QSO,0.1137073,296,1287,52728,1237661435927855168,1449114589735184384
87,0.0474861800524291,216.8984,26.53736,15.67,QSO,0.3636065,340,2135,53827,1237665429172125706,2403889823803795456
89,0.0276546160130634,217.4295,47.79061,16.33,QSO,0.2206272,108,1673,53462,1237661958836322314,1883660289044408320
89,0.0323747719668218,217.4295,47.79061,16.33,QSO,0.2206866,311,8434,57484,1237661958836322314,9495925426901766144
92,0.0554378827373247,221.6914,40.58495,15.95,QSO,0.2679094,190,1397,53119,1237661433783320584,1572934448989628416
93,0.0844000565164332,222.7865,27.1575,15.01,Sey,0.06449452,637,2142,54208,1237665180061335571,2411852768282175488
95,0.0184323723964448,228.6795,36.84733,15.97,QSO,0.3705309,580,1353,53083,1237661874028871772,1523502054868281344
95,0.0329068058161276,228.6795,36.84733,15.97,QSO,0.3700202,410,10743,58222,1237661874028871772,12095655537095757824
96,0.0398022317378198,230.3094,22.46219,16.09,QSO,0.136087,114,2158,54209,1237665429177696323,2429723405663102976
97,0.135997437906968,231.1022,9.974722,15.74,QSO,1.32594,3,1720,53854,1237662636371542233,1936548729062451200
97,0.472731182214681,231.1022,9.974722,15.74,QSO,1.328076,910,5490,56003,1237662636371542233,6181440728176283648
98,0.110250894510835,233.9684,57.90267,15.54,Sey,0.0302201,83,615,52345,1237654949448450067,692451296917088256
98,0.110250894510835,233.9684,57.90267,15.54,Sey,0.03022659,108,615,52347,1237654949448450067,692458168898316288
100,0.119412126675271,234.895,47.59203,16.01,QSO,0.7714964,258,6729,56419,1237659329773240332,7576251499338289152
101,0.190907950479122,236.376,48.76917,16.05,QSO,0.399824,355,812,52352,1237659327097864217,914328345473214464
101,0.0739841034079178,236.376,48.76917,16.05,QSO,0.3996714,896,8429,57893,1237659327097864217,9490456737804996608
102,0.140795491960709,236.9314,20.87133,16.05,QSO,0.264278,484,2168,53886,1237665535466537048,2441084104138057728
103,0.0556187150237612,238.6857,8.372611,16.02,QSO,0.1188412,568,1727,53859,1237662636374949957,1944585334511659008
104,0.130467210633319,243.555,26.07119,16,QSO,0.1309488,35,1393,52824,1237662618653098133,1568388238337402880
108,0.112895368085831,248.0047,37.63053,15.96,QSO,1.475677,198,1173,52790,1237659329779269687,1320735063360432128
111,0.068471595582613,256.1724,60.74181,15.9,QSO,0.3715231,377,353,51703,1237651225171132471,397546324657989632
118,0.0118977700498671,339.032,13.73206,16.04,QSO,0.325743,383,739,52264,1237656242236948506,832145347378702336
118,0.0118977700498671,339.032,13.73206,16.04,QSO,0.3257094,388,739,52520,1237656242236948506,832146726063204352
124,0.134528170075419,357.9838,-1.153694,15,QSO,0.1738203,86,386,51788,1237663275779424259,434621033538938880
124,0.087548749961217,357.9838,-1.153694,15,QSO,0.1743928,698,9208,57688,1237663275779424259,10367478335970496512
