bg_id,obj_tag,typ,Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,ra,dec
720,QSO B1544+4855,Sy1,     ~,16.92,16.73,     ~,     ~,~              ,236.376,48.7692
730,2MASX J15474353+2052167,Sy1,     ~,16.80,16.69,15.70,     ~,~              ,236.931,20.8713
740,2MASS J15544457+0822213,Sy1,     ~,16.38,16.16,     ~,     ~,~              ,238.686,8.37261
750,Mrk 876,Sy1,     ~,16.03,15.49,     ~,     ~,~              ,243.488,65.7194
760,Ton 256,Sy1,     ~,16.06,16.50,     ~,     ~,~              ,243.555,26.0712
770,Mrk 877,Sy1,     ~,15.79,15.39,     ~,     ~,~              ,245.047,17.4076
780,QSO B1626+5529,Sy1,     ~,15.79,15.68,     ~,     ~,~              ,246.984,55.3754
790,IRAS 17002+5153,Sy1,     ~,15.49,15.12,     ~,     ~,~              ,255.353,51.8223
800,2A 1705+609,Sy1,     ~,15.65,15.40,15.30,     ~,~              ,256.172,60.7418
810,2MASS J21145258+0607423,Sy1,     ~,16.06,15.77,     ~,     ~,~              ,318.719,6.12845
820,Mrk 1513,Sy1,     ~,14.92,14.64,     ~,     ~,~              ,323.116,10.1387
830,QSO B2209+184,BLL,     ~,16.09,15.44,11.96,     ~,~              ,332.975,18.6972
840,Mrk 304,Sy1,     ~,15.02,14.66,     ~,     ~,~              ,334.301,14.2391
850,2E 4626,Sy1,     ~,16.48,16.34,     ~,     ~,~              ,339.032,13.732
860,4C 11.72,BLL,     ~,16.02,15.82,     ~,     ~,~              ,343.543,11.6108
870,2MASX J23070290+0432567,Sy1,     ~,16.32,15.50,     ~,     ~,~              ,346.762,4.54919
880,4C 09.72,BLL,     ~,16.15,16.00,     ~,     ~,~              ,347.824,10.1377
