int_id,get_nearby_distance,z,fiberID,plate,mjd,bestobjid,specobjid
59,0.00175592426570828,0.3949879,489,1229,52723,1237658493354115106,1383865446490466304
60,0.000656386874814397,0.05435376,367,1345,52814,1237661852549709864,1514436302106290176
61,0.00106015254113319,0.0392371,640,1575,53493,1237662620264497244,1773468333740419072
62,0.0010213679285652,0.4674143,11,1714,53521,1237662636368330851,1929795523057838080
63,0.0012236343150049,0.1188412,568,1727,53859,1237662636374949957,1944585334511659008
64,0.00083739337274494,0.08976129,250,2109,53468,1237665227312136208,2374591681191241728
65,0.00032549525114031,0.03339824,532,2525,54569,1237667782322028653,2843043576479246336
66,0.000763329127673198,0.08366632,148,2972,54586,1237671936043909353,3346215282006845440
67,0.000717702616642834,0.033103,76,1171,52753,1237659326565449796,1318449727821342720
68,0.00191621122841276,0.399824,355,812,52352,1237659327097864217,914328345473214464
68,7.61028829280181E-05,0.3996714,896,8429,57893,1237659327097864217,9490456737804996608
69,0.00243055624174007,0.3679648,413,1873,54437,1237663789569474622,2108924124532336640
70,0.00153077420705592,0.05436408,11,1869,53327,1237663915728568373,2104310005363664896
71,0.000167780939904306,0.1829528,61,2016,53799,1237665129622339736,2269831043483723776
72,0.000187597609557922,0.3557244,341,2155,53820,1237665178452557856,2426408096701114368
73,0.000337904574378181,0.06449452,637,2142,54208,1237665180061335571,2411852768282175488
74,0.00119634948153841,0.261786,177,706,52199,1237666407922991134,794934024513546240
74,0.000122498517341651,0.2615414,530,9371,58073,1237666407922991134,10550953847756705792
75,0.000857813426738723,0.300457,12,2769,54527,1237667735592435753,3117620216532592640
76,2.13322326001266E-05,0.4280129,108,7856,57260,1237678595947823134,8845099476773523456
77,0.000618360184400775,0.04702275,510,725,52258,1237653438155128872,816417658076424192
78,0.00202046240872151,0.005893506,83,916,52378,1237655497594896459,1031347169430366208
79,0.00126080611095671,0.02309059,348,1665,52976,1237661059573875305,1874719052333606912
79,0.00221961747711029,0.02313472,349,1666,52991,1237661059573875305,1875845227370014720
80,0.000845403845244292,0.4285249,526,1645,53172,1237662305117339725,1852249985752524800
80,0.000262018990270205,0.4286717,983,10757,58223,1237662305117339725,12111575640849010688
81,0.000641924425333825,0.03571216,620,1651,53442,1237662305122910284,1859031228246681600
82,0.00035598477882594,0.2323568,515,1653,53534,1237662305124614166,1861254167423641600
83,0.000162628532058725,0.4759721,58,1380,53084,1237662305652768807,1553757866102384640
83,0.000117131201014478,0.4769755,688,10756,58226,1237662305652768807,12110368652009951232
84,0.00184828063962012,0.2942613,276,396,51816,1237663783130497044,445932259879446528
84,2.46892560890849E-05,0.2937849,436,7874,57279,1237663783130497044,8865455835368935424
84,2.44661381700979E-05,0.2943392,602,9388,58074,1237663783130497044,10570113937399107584
85,0.000550832928622411,0.1395377,382,1923,53319,1237664836996891003,2165210579902425088
86,0.000418238097474285,0.05079341,534,1931,53358,1237664837002395706,2174259561253332992
87,0.00131487433497837,0.362186,280,2223,53793,1237667442967969827,2502952522361104384
88,0.00130887723076533,0.09969537,594,2233,53845,1237667444045643815,2514297833964726272
89,0.000458849682809654,0.3962561,604,2920,54562,1237648705653637151,3287793830773942272
90,0.00155411421438064,0.2817113,207,495,51988,1237651067891417167,557377386966968320
91,0.00121157094162864,0.3864042,463,619,52056,1237651539261194318,697059345300482048
91,0.0002746898367685,0.3870074,651,8413,57897,1237651539261194318,9472374994275422208
92,0.00385878300185853,0.2527491,220,1059,52592,1237657118403657960,1192388517972436992
92,0.00385878300185853,0.2527351,215,1059,52618,1237657118403657960,1192387144019109888
93,0.00146057210466733,0.1788042,20,942,52703,1237660637067542562,1060603255152732160
93,0.000360965819686518,0.1782913,228,8287,57401,1237660637067542562,9330395324337115136
94,0.000658277069212238,0.3415512,514,1398,53146,1237661434858373164,1574149409791305728
95,0.00107664800309321,0.1137073,296,1287,52728,1237661435927855168,1449114589735184384
96,0.000166497412909275,0.1743191,140,1819,54540,1237662262713647203,2048050489622292480
97,0.000141310359559449,0.09574385,490,1986,53475,1237664669519642696,2236171963464706048
98,0.000401904717464285,0.35581,193,2199,53556,1237665441534705741,2475907006242777088
99,0.00131869196217177,0.07582421,25,2356,53786,1237667253469708300,2652627115987462144
100,0.000699688762293344,0.1426254,194,2222,53799,1237667253475672093,2501802983054927872
101,0.000631179332147387,0.3338061,330,2612,54480,1237668299278450691,2940941341544179712
102,7.44414500814155E-05,0.09159148,599,2532,54589,1237668311632904348,2850943292982454272
103,0.000305779193099325,0.3218345,50,472,51955,1237650795143233717,531438532724549632
103,0.00011908407848218,0.322346,174,3821,55535,1237650795143233717,4302111465664696320
104,0.00139961260542876,0.4736708,553,554,52000,1237653613722337304,623900589427812352
104,0.000339794732723082,0.4740823,940,7285,56991,1237653613722337304,8202439323871891456
105,0.000733844898673801,0.03919747,535,550,51959,1237653614255145094,619392041310251008
106,0.00209183498039419,0.1347965,507,789,52342,1237655465922789404,888474428889917440
107,0.000392955557945088,0.06191602,623,1059,52592,1237657630579359815,1192499293768935424
107,0.000392955557945088,0.06183716,628,1059,52618,1237657630579359815,1192500668594677760
108,0.0022452506030439,0.02659269,580,879,52365,1237657630599872600,989825486978836480
108,0.0022452506030439,0.02645922,337,880,52367,1237657630599872600,990884591587846144
109,0.000268289528830823,0.3113525,187,1758,53084,1237661066553786531,1979383490138892288
110,0.000720716563240689,0.1337497,118,1601,53115,1237661949708075070,1802598238709114880
111,8.17368784265843E-05,0.1139307,77,1772,53089,1237662525234479221,1995115852348811264
112,0.000827781450749616,0.402565,149,1777,53857,1237662529526694003,2000765155977226240
113,1.83206699414999E-05,0.3233816,980,7687,57007,1237666275277209644,8655062081807339520
114,0.00109006222594038,0.3733639,9,2366,53741,1237667549268082776,2663881716254402560
115,0.000738900777927606,0.09356441,228,2486,53876,1237667549271228440,2799049905602062336
116,0.0021105386432486,0.3589468,251,276,51909,1237648720149544981,310817400670939136
117,0.00127870417097426,0.4236993,710,3773,55240,1237648720151117971,4248215599745093632
118,0.00139451734802433,0.09262062,414,355,51788,1237651212287475940,399808296380295168
119,0.00114119325971022,0.3715231,377,353,51703,1237651225171132471,397546324657989632
120,0.00259340361831458,0.3594384,475,357,51813,1237651225710362748,402076864165734400
120,0.00259340361831458,0.3592547,472,367,51997,1237651225710362748,413335041687447552
121,0.00088156796484012,0.1228317,133,451,51908,1237651249878007833,507817448758601728
122,0.000201716852958886,0.1346648,586,539,52017,1237651736851054654,607021162081314816
123,0.00198960649912408,0.2688896,537,526,52312,1237651737913393173,592370999224199168
124,0.000606513215296015,0.04310874,133,2974,54592,1237654953748201616,3348462958752589824
125,0.00337861881335043,0.06871108,9,1225,52760,1237660612902977553,1379229906088519680
126,0.000600043955442987,0.3789705,39,1223,52781,1237660613975146630,1376986352964364288
127,0.00118985117043676,0.1605024,435,1227,52733,1237660614514245640,1381598803437578240
128,0.000856411907442344,0.05014781,471,1223,52781,1237660615048364067,1377105100220164096
129,0.000559556290096196,0.1745976,412,1224,52765,1237660615049347102,1378214782062061568
130,0.0019567706442024,0.1496747,502,1224,52765,1237660615049609277,1378239521073686528
131,0.00141362340576316,0.05502596,54,1218,52709,1237660634383777814,1371360975390795776
132,0.000955644176060915,0.3755406,547,2001,53493,1237662223530655780,2253076130410031104
132,6.81359430081482E-05,0.3758788,374,8834,57458,1237662223530655780,9946302706510745600
133,0.000882685793558805,0.1738203,86,386,51788,1237663275779424259,434621033538938880
133,0.000371995659623289,0.1743928,698,9208,57688,1237663275779424259,10367478335970496512
134,0.000908875311454702,0.03524098,372,1744,53055,1237664106852450313,1963671743369340928
135,0.000260199799619982,0.1175316,630,2094,53851,1237665329860575281,2357807642618914816
136,0.00139580566618098,0.06329135,639,2504,54179,1237667782293979150,2819429083828480000
137,0.00278897599289875,0.07723631,360,517,52024,1237651736294195259,582189241841248256
138,0.000237643037493208,0.3139918,446,8829,57446,1237657775541714969,9940692997984505856
139,0.00112947176382152,0.09166554,23,827,52312,1237657776614015113,931125583939659776
140,7.87432047223245E-05,0.460881,46,755,52235,1237657596220211254,850067111547004928
141,0.00161286556026345,0.2364408,293,1061,52641,1237657606420758795,1194660384695412736
142,0.000772851764290804,0.2858998,545,963,52643,1237658613589999623,1084391463090939904
143,0.000726276164976462,0.2407427,630,1744,53055,1237661069785956459,1963742661869332480
