# name        ra           dec          phot_bmag comments pg_class Search_Offset     
  "PG 1333+177" 204.008375   17.42030556  15.64     0.554    QSO      9038.624353111101 
  "PG 1338+416" 205.25325    41.38725     16.08     1.219    QSO      7963.857886547971 
  "PG 1341+259" 205.98645833 25.64658333  15.93     "0.087 T" Sey      8647.744357551659 
  "PG 1351+237" 208.52679167 23.43038889  15.87     "MK 662" QSO      8623.278694314133 
  "PG 1351+640" 208.31595833 63.76266667  15.42     0.087    QSO      6774.254692636417 
  "PG 1352+011" 208.74445833 0.86969444   16.03     1.117    QSO      9074.610612754488 
  "PG 1352+183" 208.64870833 18.08819444  15.71     0.158    QSO      8791.99310833556  
  "PG 1354+213" 209.13666667 21.06455556  15.85     0.300    QSO      8675.79183662056  
  "PG 1358+043" 210.13316667 4.08269444   16.39     0.427    QSO      8977.036742520879 
  "PG 1402+262" 211.31758333 25.92616667  15.57     "TON 182" QSO      8412.201982166609 
  "PG 1404+226" 211.59120833 22.39627778  15.82     0.098    QSO      8517.462887168882 
  "PG 1407+265" 212.349625   26.30586111  15.73     0.944    QSO      8353.66943577139  
  "PG 1411+442" 213.451375   44.00388889  14.99     0.089    QSO      7612.815490212391 
  "PG 1415+452" 214.25345833 44.93516667  15.74     0.114    QSO      7548.7057649984545
  "PG 1416-129" 214.76591667 -13.17908333 15.4      0.129    QSO      8586.96037285374  
  "PG 1425+268" 216.898375   26.53736111  15.67     T202,K   QSO      8140.794060595812 
  "PG 1426+015" 217.27741667 1.28505556   15.05     "MK 1383" QSO      8562.219344469011 
  "PG 1427+480" 217.42945833 47.79061111  16.33     0.221    QSO      7334.580110055726 
  "PG 1435-068" 219.56733333 -6.97236111  15.54     0.129    QSO      8395.357919590695 
  "PG 1440+357" 220.531125   35.43972222  15.0      "MK 478" QSO      7695.617398847497 
  "PG 1444+408" 221.69141667 40.58494444  15.95     0.267    QSO      7472.9126697423735
  "PG 1448+274" 222.7865     27.1575      15.01     0.065    Sey      7846.010368192221 
  "PG 1501+106" 226.00495833 10.43772222  15.09     "MK 841" QSO      7985.192397628009 
  "PG 1512+370" 228.67945833 36.84733333  15.97     "4C 37.43" QSO      7313.734438936349 
  "PG 1519+226" 230.30941667 22.46219444  16.09     0.137    QSO      7570.224475437499 
  "PG 1522+102" 231.10216667 9.97472222   15.74     1.321    QSO      7692.1467909641415
  "PG 1534+581" 233.968375   57.90266667  15.54     "MK 290" Sey      6492.8228834170595
  "PG 1535+547" 234.15991667 54.55925     15.31     "I ZW 121" Sey      6590.868694802253 
  "PG 1538+478" 234.895      47.59202778  16.01     0.770    QSO      6769.189883253599 
  "PG 1544+489" 236.37595833 48.76916667  16.05     0.400    QSO      6684.335033364893 
  "PG 1545+210" 236.93141667 20.87133333  16.05     3C323.1  QSO      7239.18647451949  
  "PG 1552+085" 238.68575    8.37261111   16.02     0.119    QSO      7256.609088271321 
  "PG 1612+262" 243.55504167 26.07119444  16.0      "TON 256" QSO      6814.781282733521 
  "PG 1613+658" 243.48820833 65.71941667  15.37     "MK 876" QSO      6034.612849221415 
  "PG 1617+175" 245.047      17.40761111  15.53     "MK 877" QSO      6824.272803944083 
  "PG 1626+555" 246.98383333 55.37541667  16.17     0.133    Sey      6170.155115442759 
  "PG 1630+377" 248.00466667 37.63052778  15.96     "1.471 K" QSO      6435.265360026117 
  "PG 1634+706" 248.62083333 70.52566667  14.9      1.334    QSO      5818.829574046482 
  "PG 1700+519" 255.35341667 51.82233333  15.43     0.292    QSO      5939.500104452453 
  "PG 1704+608" 256.17241667 60.74180556  15.9      "3C 351" QSO      5802.484694286136 
  "PG 1715+535" 259.14820833 53.47108333  16.3      "NE 1.92" QSO      5786.055663614675 
  "PG 1718+481" 259.909375   48.07011111  15.33     1.084    QSO      5803.4029407614435
