bg_id,obj_tag,typ,"coord1 (ICRS,J2000/2000)",Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,a,b
670,4C 37.43,Sy1,15 14 43.0682940988 +36 50 50.355363752,     ~,17.11,17.01,15.83,     ~,~              ,379,1
680,2E 1519.0+2238,Sy1,15 21 14.2570279616 +22 27 43.829185560,     ~,16.09,16.09,     ~,     ~,~              ,116,0
690,Mrk 290,Sy1,15 35 52.4036488200 +57 54 09.516647866,     ~,15.55,15.27,     ~,     ~,~              ,461,0
700,2MASX J15363770+4718266,G  ,15 36 37.691 +47 18 26.73,     ~,15.7,     ~,     ~,     ~,~              ,11,0
710,Mrk 486,Sy1,15 36 38.4013129866 +54 33 33.214684833,     ~,15.21,14.78,     ~,     ~,~              ,253,0
720,QSO B1544+4855,Sy1,15 45 30.2362003284 +48 46 08.978296070,     ~,16.92,16.73,     ~,     ~,~              ,216,0
730,2MASX J15474353+2052167,Sy1,15 47 43.5377678391 +20 52 16.613895999,     ~,16.80,16.69,15.70,     ~,~              ,454,0
740,2MASS J15544457+0822213,Sy1,15 54 44.5797394405 +08 22 21.411836511,     ~,16.38,16.16,     ~,     ~,~              ,101,0
750,Mrk 876,Sy1,16 13 57.1791807197 +65 43 09.953889666,     ~,16.03,15.49,     ~,     ~,~              ,524,0
760,Ton 256,Sy1,16 14 13.2049266694 +26 04 16.223082335,     ~,16.06,16.50,     ~,     ~,~              ,233,1
770,Mrk 877,Sy1,16 20 11.2800014833 +17 24 27.514065981,     ~,15.79,15.39,     ~,     ~,~              ,252,0
780,QSO B1626+5529,Sy1,16 27 56.1124169072 +55 22 31.559608363,     ~,15.79,15.68,     ~,     ~,~              ,189,0
790,IRAS 17002+5153,Sy1,17 01 24.8267412895 +51 49 20.447125726,     ~,15.49,15.12,     ~,     ~,~              ,361,0
800,2A 1705+609,Sy1,17 04 41.3742389551 +60 44 30.522600868,     ~,15.65,15.40,15.30,     ~,~              ,728,1
810,2MASS J21145258+0607423,Sy1,21 14 52.5774242314 +06 07 42.435724828,     ~,16.06,15.77,     ~,     ~,~              ,201,0
820,Mrk 1513,Sy1,21 32 27.8163185343 +10 08 19.250705656,     ~,14.92,14.64,     ~,     ~,~              ,553,0
830,QSO B2209+184,BLL,22 11 53.8892047549 +18 41 49.859069658,     ~,16.09,15.44,11.96,     ~,~              ,144,1
840,Mrk 304,Sy1,22 17 12.2638362727 +14 14 20.918554073,     ~,15.02,14.66,     ~,     ~,~              ,325,0
850,2E 4626,Sy1,22 36 07.6824365479 +13 43 55.360331935,     ~,16.48,16.34,     ~,     ~,~              ,141,0
860,4C 11.72,BLL,22 54 10.4213843099 +11 36 38.745749268,     ~,16.02,15.82,     ~,     ~,~              ,323,1
870,2MASX J23070290+0432567,Sy1,23 07 02.9149298268 +04 32 57.098187867,     ~,16.32,15.50,     ~,     ~,~              ,94,0
880,4C 09.72,BLL,23 11 17.7543884785 +10 08 15.754791578,     ~,16.15,16.00,     ~,     ~,~              ,183,1
================================================================================,,,,,,,,,,,,,
