int_id,dist_arcsec,ra,dec,g,z,fiberID,plate,mjd,bestobjid,specobjid
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08017143,122,412,51871,1237663783144521731,463904328114006016
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.0801526,133,412,51931,1237663783144521731,463907352777615360
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08014693,132,412,51936,1237663783144521731,463907077983594496
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08014796,132,412,51942,1237663783144521731,463907078084257792
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08020398,129,412,52235,1237663783144521731,463906258366261248
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08018456,131,412,52250,1237663783144521731,463906808373733376
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08017954,131,412,52254,1237663783144521731,463906808440842240
47,0.0665538571704145,47.61596,-0.8307899,16.10538,0.08017637,129,412,52258,1237663783144521731,463906258752137216
48,0.048109538635194,140.9292,22.90906,15.85028,0.03310638,578,2290,53727,1237667254535258208,2578469728628533248
49,0.0878485208702033,208.6487,18.08818,16.48697,0.1514729,228,2756,54508,1237668297677013119,3103042891052771328
50,0.013393510362115,188.0151,20.15821,15.89994,0.06355042,342,2613,54481,1237668298205364227,2942070540002682880
51,0.0365166612651462,221.6676,16.40063,16.97924,0.05418641,423,2763,54507,1237668298219389033,3110977791575746560
52,0.0120034943235876,350.7361,18.97127,16.9569,0.1418399,430,7604,56947,1237672766054006804,8561461205683949568
53,0.000974953187088512,9.052099,5.831075,16.51268,0.4147801,79,8748,58396,1237678663038533695,9849394241276760064
54,0.0687045579712644,154.8024,63.96741,15.99857,0.04151702,161,488,51914,1237651272431829033,549483441993836544
55,0.132254768699913,187.0288,67.14559,16.91778,0.443349,266,494,51915,1237651272437792771,556267703631898624
56,0.152195993256325,28.87512,-8.951136,16.97454,0.1647034,597,665,52168,1237652900760584218,748887576533821440
56,0.0163617532485727,28.87512,-8.951136,16.97454,0.164699,734,7184,56629,1237652900760584218,8088666802358603776
57,0.023572902653921,233.9683,57.90264,15.27618,0.0302201,83,615,52345,1237654949448450067,692451296917088256
57,0.023572902653921,233.9683,57.90264,15.27618,0.03022659,108,615,52347,1237654949448450067,692458168898316288
58,0.0418075591158582,161.424,52.04321,16.86564,0.284112,220,1010,52649,1237657589780316167,1137219423493449728
58,0.00529515839370061,161.424,52.04321,16.86564,0.284092,958,8167,57071,1237657589780316167,9195487990851588096
59,0.105355455942497,182.3503,10.60335,16.65855,0.3949879,489,1229,52723,1237658493354115106,1383865446490466304
60,0.0393832124888638,206.1101,44.27223,16.98159,0.05435376,367,1345,52814,1237661852549709864,1514436302106290176
61,0.0636091524679914,246.0391,26.07526,16.85316,0.0392371,640,1575,53493,1237662620264497244,1773468333740419072
62,0.0612820757139117,223.7084,11.24291,16.51175,0.4674143,11,1714,53521,1237662636368330851,1929795523057838080
63,0.0734180589002939,238.6858,8.372623,15.94623,0.1188412,568,1727,53859,1237662636374949957,1944585334511659008
64,0.0502436023646964,203.022,31.46013,16.65084,0.08976129,250,2109,53468,1237665227312136208,2374591681191241728
65,0.0195297150684186,242.1516,12.33099,16.34526,0.03339824,532,2525,54569,1237667782322028653,2843043576479246336
66,0.0457997476603919,258.2686,35.39266,16.35358,0.08366632,148,2972,54586,1237671936043909353,3346215282006845440
67,0.04306215699857,245.9412,41.08234,16.76639,0.033103,76,1171,52753,1237659326565449796,1318449727821342720
68,0.114972673704765,236.376,48.76916,16.36417,0.399824,355,812,52352,1237659327097864217,914328345473214464
68,0.00456617297568108,236.376,48.76916,16.36417,0.3996714,896,8429,57893,1237659327097864217,9490456737804996608
69,0.145833374504404,125.065,59.70789,16.30832,0.3679648,413,1873,54437,1237663789569474622,2108924124532336640
70,0.0918464524233549,119.9207,50.83998,16.62594,0.05436408,11,1869,53327,1237663915728568373,2104310005363664896
71,0.0100668563942584,198.074,35.25585,15.79803,0.1829528,61,2016,53799,1237665129622339736,2269831043483723776
72,0.0112558565734753,226.6705,24.50927,16.81786,0.3557244,341,2155,53820,1237665178452557856,2426408096701114368
73,0.0202742744626909,222.7865,27.15748,15.55721,0.06449452,637,2142,54208,1237665180061335571,2411852768282175488
74,0.0717809688923046,39.84531,-0.02212425,15.64838,0.261786,177,706,52199,1237666407922991134,794934024513546240
74,0.00734991104049905,39.84531,-0.02212425,15.64838,0.2615414,530,9371,58073,1237666407922991134,10550953847756705792
75,0.0514688056043234,209.1367,21.06454,16.81795,0.300457,12,2769,54527,1237667735592435753,3117620216532592640
76,0.00127993395600759,11.02031,1.561901,16.69379,0.4280129,108,7856,57260,1237678595947823134,8845099476773523456
77,0.0371016110640465,346.1812,-8.685734,15.36474,0.04702275,510,725,52258,1237653438155128872,816417658076424192
78,0.121227744523291,213.312,-3.20759,16.48063,0.005893506,83,916,52378,1237655497594896459,1031347169430366208
79,0.0756483666574023,48.75589,42.03582,16.81771,0.02309059,348,1665,52976,1237661059573875305,1874719052333606912
79,0.133177048626617,48.75589,42.03582,16.81771,0.02313472,349,1666,52991,1237661059573875305,1875845227370014720
80,0.0507242307146575,218.798,36.07701,16.95174,0.4285249,526,1645,53172,1237662305117339725,1852249985752524800
80,0.0157211394162123,218.798,36.07701,16.95174,0.4286717,983,10757,58223,1237662305117339725,12111575640849010688
81,0.0385154655200295,232.4191,30.48593,16.43601,0.03571216,620,1651,53442,1237662305122910284,1859031228246681600
82,0.0213590867295564,236.1272,28.4658,16.61018,0.2323568,515,1653,53534,1237662305124614166,1861254167423641600
83,0.00975771192352352,214.9863,37.65357,16.9806,0.4759721,58,1380,53084,1237662305652768807,1553757866102384640
83,0.00702787206086867,214.9863,37.65357,16.9806,0.4769755,688,10756,58226,1237662305652768807,12110368652009951232
84,0.110896838377207,15.60966,-0.6512572,16.15622,0.2942613,276,396,51816,1237663783130497044,445932259879446528
84,0.00148135536534509,15.60966,-0.6512572,16.15622,0.2937849,436,7874,57279,1237663783130497044,8865455835368935424
84,0.00146796829020587,15.60966,-0.6512572,16.15622,0.2943392,602,9388,58074,1237663783130497044,10570113937399107584
85,0.0330499757173447,120.2559,18.81133,16.6939,0.1395377,382,1923,53319,1237664836996891003,2165210579902425088
86,0.0250942858484571,131.7254,25.37009,16.59569,0.05079341,534,1931,53358,1237664837002395706,2174259561253332992
87,0.0788924600987024,176.9941,27.24982,16.07895,0.362186,280,2223,53793,1237667442967969827,2502952522361104384
88,0.0785326338459196,187.1286,28.23661,16.66731,0.09969537,594,2233,53845,1237667444045643815,2514297833964726272
89,0.0275309809685792,189.7877,0.8573465,16.51577,0.3962561,604,2920,54562,1237648705653637151,3287793830773942272
90,0.0932468528628387,192.7518,66.05744,16.80311,0.2817113,207,495,51988,1237651067891417167,557377386966968320
91,0.0726942564977184,239.0733,55.13919,16.90064,0.3864042,463,619,52056,1237651539261194318,697059345300482048
91,0.01648139020611,239.0733,55.13919,16.90064,0.3870074,651,8413,57897,1237651539261194318,9472374994275422208
92,0.231526980111512,115.9668,27.21097,15.81747,0.2527491,220,1059,52592,1237657118403657960,1192388517972436992
92,0.231526980111512,115.9668,27.21097,15.81747,0.2527351,215,1059,52618,1237657118403657960,1192387144019109888
93,0.0876343262800397,151.4244,43.54456,16.45981,0.1788042,20,942,52703,1237660637067542562,1060603255152732160
93,0.0216579491811911,151.4244,43.54456,16.45981,0.1782913,228,8287,57401,1237660637067542562,9330395324337115136
94,0.0394966241527343,225.6766,39.86903,16.81493,0.3415512,514,1398,53146,1237661434858373164,1574149409791305728
95,0.0645988801855926,214.2534,44.93511,16.64235,0.1137073,296,1287,52728,1237661435927855168,1449114589735184384
96,0.00998984477455651,231.9742,6.17192,16.28328,0.1743191,140,1819,54540,1237662262713647203,2048050489622292480
97,0.00847862157356693,185.9957,40.73594,16.58805,0.09574385,490,1986,53475,1237664669519642696,2236171963464706048
98,0.0241142830478571,240.683,17.7511,16.79807,0.35581,193,2199,53556,1237665441534705741,2475907006242777088
99,0.0791215177303065,161.1156,27.30175,16.98099,0.07582421,25,2356,53786,1237667253469708300,2652627115987462144
100,0.0419813257376007,176.4562,29.11169,16.6046,0.1426254,194,2222,53799,1237667253475672093,2501802983054927872
101,0.0378707599288432,186.4248,20.91759,16.49753,0.3338061,330,2612,54480,1237668299278450691,2940941341544179712
102,0.00446648700488493,247.8169,9.932747,16.79772,0.09159148,599,2532,54589,1237668311632904348,2850943292982454272
103,0.0183467515859595,139.2599,-0.7382082,16.60262,0.3218345,50,472,51955,1237650795143233717,531438532724549632
103,0.00714504470893077,139.2599,-0.7382082,16.60262,0.322346,174,3821,55535,1237650795143233717,4302111465664696320
104,0.0839767563257254,141.3098,54.74086,16.35682,0.4736708,553,554,52000,1237653613722337304,623900589427812352
104,0.0203876839633849,141.3098,54.74086,16.35682,0.4740823,940,7285,56991,1237653613722337304,8202439323871891456
105,0.0440306939204281,129.9569,48.78374,16.96376,0.03919747,535,550,51959,1237653614255145094,619392041310251008
106,0.125510098823652,216.1009,59.88346,16.09305,0.1347965,507,789,52342,1237655465922789404,888474428889917440
107,0.0235773334767053,118.1072,28.51109,16.43003,0.06191602,623,1059,52592,1237657630579359815,1192499293768935424
107,0.0235773334767053,118.1072,28.51109,16.43003,0.06183716,628,1059,52618,1237657630579359815,1192500668594677760
108,0.134715036182634,173.1677,52.9504,16.22972,0.02659269,580,879,52365,1237657630599872600,989825486978836480
108,0.134715036182634,173.1677,52.9504,16.22972,0.02645922,337,880,52367,1237657630599872600,990884591587846144
109,0.0160973717298494,126.6396,7.713446,16.80975,0.3113525,187,1758,53084,1237661066553786531,1979383490138892288
110,0.0432429937944413,162.5323,11.5413,16.08801,0.1337497,118,1601,53115,1237661949708075070,1802598238709114880
111,0.00490421270559506,197.8986,14.41311,16.83783,0.1139307,77,1772,53089,1237662525234479221,1995115852348811264
112,0.049666887044977,208.1075,13.48146,16.82419,0.402565,149,1777,53857,1237662529526694003,2000765155977226240
113,0.00109924019649,25.1459,23.74754,16.77703,0.3233816,980,7687,57007,1237666275277209644,8655062081807339520
114,0.0654037335564229,157.0606,21.33198,16.90939,0.3733639,9,2366,53741,1237667549268082776,2663881716254402560
115,0.0443340466756564,164.6127,22.59265,16.78429,0.09356441,228,2486,53876,1237667549271228440,2799049905602062336
116,0.126632318594916,162.9644,-0.8549052,15.79092,0.3589468,251,276,51909,1237648720149544981,310817400670939136
117,0.0767222502584554,166.6324,-0.8812137,16.26549,0.4236993,710,3773,55240,1237648720151117971,4248215599745093632
118,0.0836710408814596,258.5485,57.97611,16.62054,0.09262062,414,355,51788,1237651212287475940,399808296380295168
119,0.068471595582613,256.1724,60.74181,15.44781,0.3715231,377,353,51703,1237651225171132471,397546324657989632
120,0.155604217098875,260.1112,55.6734,16.97341,0.3594384,475,357,51813,1237651225710362748,402076864165734400
120,0.155604217098875,260.1112,55.6734,16.97341,0.3592547,472,367,51997,1237651225710362748,413335041687447552
121,0.0528940778904072,139.9806,55.3603,16.00401,0.1228317,133,451,51908,1237651249878007833,507817448758601728
122,0.0121030111775331,226.5438,2.280562,16.40363,0.1346648,586,539,52017,1237651736851054654,607021162081314816
123,0.119376389947445,200.4374,3.51548,16.36615,0.2688896,537,526,52312,1237651737913393173,592370999224199168
124,0.0363907929177609,260.6664,30.88128,16.36721,0.04310874,133,2974,54592,1237654953748201616,3348462958752589824
125,0.202717128801025,176.9795,9.041351,16.30482,0.06871108,9,1225,52760,1237660612902977553,1379229906088519680
126,0.0360026373265792,173.3977,9.650426,16.93888,0.3789705,39,1223,52781,1237660613975146630,1376986352964364288
127,0.0713910702262056,178.4215,10.29835,16.50361,0.1605024,435,1227,52733,1237660614514245640,1381598803437578240
128,0.0513847144465406,172.0543,10.38565,16.34229,0.05014781,471,1223,52781,1237660615048364067,1377105100220164096
129,0.0335733774057717,174.4085,10.65838,16.69853,0.1745976,412,1224,52765,1237660615049347102,1378214782062061568
130,0.117406238652144,175.0422,10.49115,16.95953,0.1496747,502,1224,52765,1237660615049609277,1378239521073686528
131,0.0848174043457897,154.188,42.17376,16.21303,0.05502596,54,1218,52709,1237660634383777814,1371360975390795776
132,0.0573386505636549,185.1462,38.88791,16.93722,0.3755406,547,2001,53493,1237662223530655780,2253076130410031104
132,0.00408815658048889,185.1462,38.88791,16.93722,0.3758788,374,8834,57458,1237662223530655780,9946302706510745600
133,0.0529611476135283,357.9839,-1.153695,15.71855,0.1738203,86,386,51788,1237663275779424259,434621033538938880
133,0.0223197395773974,357.9839,-1.153695,15.71855,0.1743928,698,9208,57688,1237663275779424259,10367478335970496512
134,0.0545325186872821,149.9827,13.04382,16.31363,0.03524098,372,1744,53055,1237664106852450313,1963671743369340928
135,0.0156119879771989,206.9061,30.21452,16.62782,0.1175316,630,2094,53851,1237665329860575281,2357807642618914816
136,0.0837483399708589,175.3173,21.93937,16.68558,0.06329135,639,2504,54179,1237667782293979150,2819429083828480000
137,0.167338559573925,180.8872,2.492928,16.65983,0.07723631,360,517,52024,1237651736294195259,582189241841248256
138,0.0142585822495925,131.9419,38.52759,16.8273,0.3139918,446,8829,57446,1237657775541714969,9940692997984505856
139,0.0677683058292912,128.1056,37.12673,16.01139,0.09166554,23,827,52312,1237657776614015113,931125583939659776
140,0.00472459228333947,116.4236,31.71574,15.67346,0.460881,46,755,52235,1237657596220211254,850067111547004928
141,0.0967719336158069,119.0836,30.75986,16.97004,0.2364408,293,1061,52641,1237657606420758795,1194660384695412736
142,0.0463711058574482,163.6862,48.52753,15.86201,0.2858998,545,963,52643,1237658613589999623,1084391463090939904
143,0.0435765698985877,151.8587,12.81562,15.37424,0.2407427,630,1744,53055,1237661069785956459,1963742661869332480
144,0.00512378222006129,183.0835,45.86062,16.96341,0.3859257,151,7427,56751,1237661874013601827,8362100227948433408
145,0.0102712678872197,228.6795,36.84734,16.68498,0.3705309,580,1353,53083,1237661874028871772,1523502054868281344
145,0.0255117716730435,228.6795,36.84734,16.68498,0.3700202,410,10743,58222,1237661874028871772,12095655537095757824
146,0.070242178744922,170.0891,11.07633,16.80213,0.4951543,135,1605,53062,1237661948637544582,1807106510371710976
147,0.0106423521518418,178.4553,11.47512,16.40065,0.1756542,249,1610,53144,1237661948641148990,1812767347363047424
148,0.021072272931892,239.7901,35.02986,15.71574,0.03102375,78,1417,53141,1237662504293892158,1595421661170001920
149,0.0753360424579314,195.5963,14.10251,16.92333,0.2852145,107,1771,53498,1237662524696625212,1993998205641058304
150,0.00345157708794053,21.94901,26.61102,16.9953,0.4175824,161,7683,58133,1237680075005952144,8650333376065327104
151,0.0388233296011302,153.5078,46.33159,16.68918,0.321395,605,943,52376,1237658205575970929,1061889953148987392
151,0.0231190741798285,153.5078,46.33159,16.68918,0.3218609,270,6662,56364,1237658205575970929,7500819503191969792
151,0.00668517812952221,153.5078,46.33159,16.68918,0.3219058,578,7385,56710,1237658205575970929,8314929804039442432
152,0.600485184295744,65.29309,27.94676,16.95096,0.0004606231,531,1250,52930,1237660554376183949,1407520892879136768
152,0.600485184295744,65.29309,27.94676,16.95096,0.001250121,60,1251,52964,1237660554376183949,1408517325862234112
153,0.741461133565621,64.72856,28.13537,16.8638,0.0004606231,194,1251,52964,1237660554913185806,1408554159501764608
154,0.0228377005223922,231.6001,27.91448,16.66256,0.2308216,390,1848,54180,1237662697571025035,2080770300357666816
155,0.0318486107840387,182.6845,38.33619,16.11059,0.02289685,120,2108,53473,1237664339328827423,2373430047240382464
156,0.0784301640275291,216.8983,26.53738,16.5915,0.3636065,340,2135,53827,1237665429172125706,2403889823803795456
157,0.0306682633587452,230.3094,22.46218,16.29501,0.136087,114,2158,54209,1237665429177696323,2429723405663102976
158,0.00708360714856365,141.8271,23.0201,16.87856,0.02641824,278,2293,53730,1237667211586109448,2581764965027309568
159,0.0709901799580755,241.9138,10.59879,16.91273,0.4583784,404,2526,54582,1237668271378661560,2844134292232103936
160,0.0148883388394111,241.0457,11.44989,16.98166,0.4362721,278,2525,54569,1237668271915073651,2842973757490882560
161,0.000863744056184951,11.24638,19.36145,16.89184,0.178817,630,7618,56898,1237679459748610052,8577278779139051520
162,0.0661125881389376,144.2544,1.095481,16.61865,0.05024875,529,476,52027,1237651752920940614,536073800077305856
162,0.0661125881389376,144.2544,1.095481,16.61865,0.05026412,523,476,52314,1237651752920940614,536072155624925184
163,0.0741420290189695,193.8321,1.736734,16.00927,0.3428728,215,523,52026,1237651752942632987,588904784019351552
164,0.152240647854984,129.2454,44.43397,15.63172,0.2543997,498,762,52232,1237655108362109100,858072655658510336
165,0.145452297721872,146.9833,53.83342,16.81651,0.4871534,225,769,52282,1237655108368662532,865878914176673792
165,0.145452297721872,146.9833,53.83342,16.81651,0.4870799,238,769,54530,1237655108368662532,865882525304645632
